citation_num,citation_code,authors,title,publisher,publication_year,journal,issue,volume,pages,book_title,book_editor,doi
386,"VOLPE, 1987","VOLPE, A M; MACDOUGALL, J D; HAWKINS, J W",MARIANA TROUGH BASALTS (MTB): TRACE ELEMENT AND SR-ND ISOTOPIC EVIDENCE FOR MIXING BETWEEN MORB-LIKE AND ARC-LIKE MELTS,,1987,EARTH PLANET SCI LETT,,82,241-254,,,10.1016/0012-821X(87)90199-3
387,"SINTON, 1993","SINTON, J M; PRICE, R C; JOHNSON, K T M; STAUDIGEL, H; ZINDLER, A",PETROLOGY AND GEOCHEMISTRY OF SUBMARINE LAVAS FROM THE LAU AND NORTH FIJI BACKARC BASINS,,1993,CIRCUM-PAC COUNCIL ENERGY MIN RES,,15,119-135,"BASIN FORMATION, RIDGE CREST PROCESSES AND METALLOGENESIS IN THE NORTH FIJI BASIN","KROENKE-L-W, EADS-J-V",NULL
388,"MACDOUGALL, 1986","MACDOUGALL, J D; LUGMAIR, G W",SR AND ND ISOTOPES IN BASALTS FROM THE EAST PACIFIC RISE: SIGNIFICANCE FOR MANTLE HETEROGENEITY,,1986,EARTH PLANET SCI LETT,,77,273-284,,,10.1016/0012-821X(86)90139-1
390,"HODGES, 1976","HODGES, F N; PAPIKE, J J",DSDP SITE 334: MAGMATIC CUMULATES FROM OCEANIC LAYER 3,,1976,J GEOPHYS RES,,81,4135-4151,,,10.1029/JB081i023p04135
392,"MICHAEL, 1988","MICHAEL, P J","THE CONCENTRATION, BEHAVIOUR AND STORAGE OF H2O IN THE SUBOCEANIC UPPER MANTLE. IMPLICATIONS FOR MANTLE METASOMATISM",,1988,GEOCHIM COSMOCHIM ACTA,,52,555-566,,,10.1016/0016-7037(88)90110-X
395,"RYAN, 1987","RYAN, J G; LANGMUIR, C H",THE SYSTEMATICS OF LITHIUM ABUNDANCES IN YOUNG VOLCANIC ROCKS,,1987,GEOCHIM COSMOCHIM ACTA,,51,1727-1741,,,10.1016/0016-7037(87)90351-6
396,"SCHEIDEGGER, 1981","SCHEIDEGGER, K F; CORLISS, J B",PETROGENESIS AND SECONDARY ALTERATION OF UPPER LAYER 2 BASALTS OF THE NAZCA PLATE,,1981,GEOL SOC AMER MEMOIR,,154,77-107,,,10.1130/MEM154-p77
397,"SCHILLING, 1985","SCHILLING, J-G; SIGURDSSON, H; DAVIS, A N; HEY, R N",EASTER MICROPLATE EVOLUTION,NULL,1985,NATURE,NULL,317,325-331,NULL,NULL,10.1038/317325a0
401,"BACH, 1994","BACH, W; HEGNER, E; ERZINGER, J; SATIR, M",CHEMICAL AND ISOTOPIC VARIATIONS ALONG THE SUPERFAST SPREADING EAST PACIFIC RISE FROM 6 DEGREE  TO 30 DEGREE S,,1994,CONTRIB MINERAL PETROL,,116,365-380,,,10.1007/BF00310905
402,"NIEDERMANN, 1997","NIEDERMANN, S; ERZINGER, J; BACH, W",NOBLE GAS EVIDENCE FOR A LOWER MANTLE COMPONENT IN MORBS FROM THE SOUTHERN EAST PACIFIC RISE: DECOUPLING OF HELIUM AND NEON ISOTOPE SYSTEMATICS,,1997,GEOCHIM COSMOCHIM ACTA,,61,2697-2715,,,10.1016/S0016-7037(97)00102-6
403,"DITTMER, 1975","DITTMER, F; FINE, S; RASMUSSEN, M H; BAILEY, J C; CAMPSIE, J",DREDGED BASALTS FROM THE MID-ATLANTIC RIDGE NORTH OF ICELAND,,1975,NATURE,,254,298-301,,,10.1038/254298a0
405,"DEVEY, 1994","DEVEY, C W; GARBE-SCHÖNBERG, D; STOFFERS, P; CHAUVEL, C; MERTZ, D F",GEOCHEMICAL EFFECTS OF DYNAMIC MELTING BENEATH RIDGES: RECONCILING MAJOR AND TRACE ELEMENT VARIATIONS IN KOLBEINSEY (AND GLOBAL) MID-OCEAN RIDGE BASALT,,1994,J GEOPHYS RES,,99,9077-9095,,,10.1029/93JB03364
406,"HAASE, 1994","HAASE, K M; DEVEY, C W","THE PETROLOGY AND GEOCHEMISTRY OF VESTERIS SEAMOUNT, GREENLAND BASIN: AN INTRAPLATE ALKALINE VOLCANO OF NON-PLUME ORIGIN",,1994,J PETROL,,35,295-328,,,10.1093/petrology/35.2.295
407,"HAASE, 1996","HAASE, K M; DEVEY, C W; MERTZ, D F; STOFFERS, P; GARBE-SCHÖNBERG, D","GEOCHEMISTRY OF LAVAS FROM MOHNS RIDGE, NORWEGIAN-GREENLAND SEA: IMPLICATIONS FOR MELTING CONDITIONS AND MAGMA SOURCES NEAR JAN MAYEN",,1996,CONTRIB MINERAL PETROL,,123,223-237,,,10.1007/s004100050152
408,"MERTZ, 1997","MERTZ, D F; HAASE, K M",THE RADIOGENIC ISOTOPE COMPOSITION OF THE HIGH-LATITUDE NORTH ATLANTIC MANTLE,,1997,GEOLOGY,,25,411-414,,,10.1130/0091-7613(1997)025<0411:TRICOT>2.3.CO;2
409,"MICHAEL, 1995","MICHAEL, P J",REGIONALLY DISTINCTIVE SOURCES OF DEPLETED MORB: EVIDENCE FROM TRACE ELEMENTS AND H2O,,1995,EARTH PLANET SCI LETT,,131,301-320,,,10.1016/0012-821X(95)00023-6
410,"MÜHE, 1993","MÜHE, R K; DEVEY, C W; BOHRMANN, H",ISOTOPE AND TRACE ELEMENT GEOCHEMISTRY OF MORB FROM THE GAKKEL RIDGE AT 86 DEGREE N,,1993,EARTH PLANET SCI LETT,,120,103-109,,,10.1016/0012-821X(93)90233-Y
411,"WAGGONER, 1989","WAGGONER, D G",AN ISOTOPIC AND TRACE ELEMENT STUDY OF MANTLE HETEROGENEITY BENEATH THE NORWEGIAN-GREENLAND SEA,,1989,"THESIS OR DISSERTATION, DOCTORAL, URI; MONOGRAPHIC",,,NULL,,,NULL
412,"MERTZ, 1991","MERTZ, D F; DEVEY, C W; TODT, W; STOFFERS, P; HOFMANN, A W",SR-ND-PB ISOTOPE EVIDENCE AGAINST PLUME-ASTHENOSPHERE MIXING NORTH OF ICELAND,,1991,EARTH PLANET SCI LETT,,107,243-255,,,10.1016/0012-821X(91)90074-R
414,"BOURDON, 1996","BOURDON, B; LANGMUIR, C H; ZINDLER, A",RIDGE-HOTSPOT INTERACTION ALONG THE MID-ATLANTIC RIDGE BETWEEN 37 DEGREE 30Õ AND 40 DEGREE 30Õ: THE U-TH DISEQUILIBRIUM EVIDENCE,,1996,EARTH PLANET SCI LETT,,142,175-189,,,10.1016/0012-821X(96)00092-1
415,"FONTIGNIE, 1996","FONTIGNIE, D; SCHILLING, J-G",MANTLE HETEROGENEITIES BENEATH THE SOUTH ATLANTIC: A ND-SR-PB ISOTOPE STUDY ALONG THE MID-ATLANTIC RIDGE (3 DEGREE S-46 DEGREE S),,1996,EARTH PLANET SCI LETT,,142,209-221,,,10.1016/0012-821X(96)00079-9
416,"ALTHERR, 1990","ALTHERR, R; HENJES-KUNST, F; BAUMANN, A","ASTHENOSPHERE VERSUS LITHOSPHERE AS POSSIBLE SOURCES FOR BASALTIC MAGMAS ERUPTED DURING FORMATION OF THE RED SEA: CONSTRAINTS FROM SR, PB AND ND ISOTOPES",,1990,EARTH PLANET SCI LETT,,96,269-286,,,10.1016/0012-821X(90)90007-K
417,"VOLKER, 1993","VOLKER, F; MCCULLOCH, M T; ALTHERR, R","SUBMARINE BASALTS FROM THE RED SEA: NEW PB, SR, AND ND ISOTOPIC DATA",,1993,GEOPHYS RES LETT,,20,927-930,,,10.1029/93GL00050
418,"ROGERS, 1993","ROGERS, N W",THE ISOTOPE AND TRACE ELEMENT GEOCHEMISTRY OF BASALTS FROM VOLCANIC ISLANDS OF THE SOUTHER RED SEA,,1993,GEOL SOC LONDON SPEC PUB,,76,455-467,MAGMATIC PROCESSES AND PLATE TECTONICS,"PICHARD-H-M, ALABASTER-T, HARRIS-N-B-W, NEARY-C-R",10.1144/GSL.SP.1993.076.01.24
419,"MOREIRA, 1996","MOREIRA, M; VALBRACHT, P J; STAUDACHER, T; ALLEGRE, C J",RARE GAS SYSTEMATICS IN RED SEA RIDGE BASALTS,,1996,GEOPHYS RES LETT,,23,2453-2456,,,10.1029/96GL02301
423,"RUBIN, 1990","RUBIN, K H; MACDOUGALL, J D",DATING OF NEOVOLCANIC MORB USING (226RA/230TH) DISEQUILIBRIUM,,1990,EARTH PLANET SCI LETT,,101,313-322,,,10.1016/0012-821X(90)90162-Q
424,"AGGREY, 1988","AGGREY, K E; MUENOW, D W; BATIZA, R",VOLATILE ABUNDANCES IN BASALTIC GLASSES FROM SEAMOUNTS FLANKING THE EAST PACIFIC RISE AT 21 DEGREE N AND 12-14 DEGREE N,,1988,GEOCHIM COSMOCHIM ACTA,,52,2115-2119,,,10.1016/0016-7037(88)90191-3
425,"JAMBON, 1990","JAMBON, A; ZIMMERMANN, J L",WATER IN OCEANIC BASALTS: EVIDENCE FOR DEHYDRATION OF RECYCLED CRUST,,1990,EARTH PLANET SCI LETT,,101,323-331,,,10.1016/0012-821X(90)90163-R
429,"SUBBARAO, 1977","SUBBARAO, K V; HEKINIAN, R; CHANDRESEKHARAM, D",LARGE ION LITHOPHILE ELEMENTS AND SR AND PB ISOTOPIC VARIATIONS IN VOLCANIC ROCKS FROM THE INDIAN OCEAN,,1977,,,,259-278,INDIAN OCEAN GEOLOGY AND BIOSTRATIGRAPHY; STUDIES FOLLOWING DEE-SEA DRILLING LEGS 22-29,"HEIRTZLER-J-R, BOLLI-H-M, DAVIES-T-A, SAUNDERS-J-B, SCLATER-J-G",NULL
431,"SUBBARAO, 1981","SUBBARAO, K V; REDDY, V V",GEOCHEMICAL STUDIES ON OCEANIC BASALTS FROM THE INDIAN OCEAN,,1981,TECTONOPHYSICS,,75,69-89,EVOLUTION OF THE UPPER MANTLE,"ZARTMAN-R-E, TAYLOR-S-R",10.1016/0040-1951(81)90210-9
433,"HEKINIAN, 1968","HEKINIAN, R",ROCKS FROM THE MID-OCEAN RIDGE IN THE INDIAN OCEAN,,1968,DEEP SEA RESEARCH,,15,195-213,,,10.1016/0011-7471(68)90041-7
434,"CANN, 1969","CANN, J R","SPILITES FROM THE CARLSBERG RIDGE, INDIAN OCEAN",,1969,J PETROL,,10,19-Jan,,,10.1093/petrology/10.1.1
435,"POREDA, 1992","POREDA, R J; CRAIG, H",HE AND SR ISOTOPES IN THE LAU BASIN MANTLE: DEPLETED AND PRIMITIVE MANTLE COMPONENTS,,1992,EARTH PLANET SCI LETT,,113,487-493,,,10.1016/0012-821X(92)90126-G
436,"PRINZ, 1976","PRINZ, M; KEIL, K; GREEN, J A; REID, A M; BONATTI, E; HONNOREZ, J",ULTRAMAFIC AND MAFIC DREDGE SAMPLES FROM THE EQUATORIAL MID-ATLANTIC RIDGE AND FRACTURE ZONE,,1976,J GEOPHYS RES,,81,4087-4103,,,10.1029/JB081i023p04087
438,"ALTHERR, 1988","ALTHERR, R; HENJES-KUNST, F; PUCHELT, H; BAUMANN, A",VOLCANIC ACTIVITY IN THE RED SEA AXIAL TROUGH - EVIDENCE FOR A LARGE MANTLE DIAPIR?,,1988,TECTONOPHYSICS,,150,121-133,,,10.1016/0040-1951(88)90298-3
439,"GOLDSTEIN, 1989","GOLDSTEIN, S J; MURRELL, M T; JANECKY, D R",TH AND U ISOTOPIC SYSTEMATICS OF BASALTS FROM THE JUAN DE FUCA AND GORDA RIDGES BY MASS SPECTROMETRY,,1989,EARTH PLANET SCI LETT,,96,134-146,,,10.1016/0012-821X(89)90128-3
440,"MICHARD, 1986","MICHARD, A; MONTIGNY, R; SCHLICH, R",GEOCHEMISTRY OF THE MANTLE BENEATH THE RODRIGUEZ TRIPLE JUNCTION AND THE SOUTH-EAST INDIAN RIDGE,,1986,EARTH PLANET SCI LETT,,78,104-111,,,10.1016/0012-821X(86)90176-7
441,"FONTIGNIE, 1991","FONTIGNIE, D; SCHILLING, J-G",87SR/86SR AND REE VARIATIONS ALONG THE EASTER MICROPLATE BOUNDARIES (SOUTH PACIFIC): APPLICATION OF MULTIVARIATE STATISTICAL ANALYSES TO RIDGE SEGMENTATION,,1991,CHEMICAL GEOLOGY,,89,209-241,,,10.1016/0009-2541(91)90018-M
442,"MACDOUGALL, 1985","MACDOUGALL, J D; LUGMAIR, G W",EXTREME ISOTOPIC HOMOGENEITY AMONG BASALTS FROM THE SOUTHERN EAST PACIFIC RISE: MANTLE OR MIXING EFFECT?,,1985,NATURE,,313,209-211,,,10.1038/313209a0
443,"MAHONEY, 1993","MAHONEY, J J; SINTON, J M; KURZ, M D; MACDOUGALL, J D; SPENCER, K; LUGMAIR, G W",ISOTOPE AND TRACE ELEMENT CHARACTERISTICS OF A SUPER-FAST SPREADING RIDGE: EAST PACIFIC RISE 13-23 DEGREE S,,1993,EARTH PLANET SCI LETT,,121,171-191,,,10.1016/0012-821X(94)90039-6
444,"SCHILLING, 1976","SCHILLING, J-G; ANDERSON, R N; VOGT, P R","RARE EARTH, FE AND TI VARIATIONS ALONG THE GALAPAGOS SPREADING CENTER AND THEIR RELATIONSHIP TO THE GALAPAGOS MANTLE PLUME",,1976,NATURE,,261,108-113,,,10.1038/261108a0
445,"KAMENETSKY, 1996","KAMENETSKY, V S","METHODOLOGY FOR THE STUDY OF MELT INCLUSIONS IN CR-SPINEL, AND IMPLICATIONS FOR PARENTAL MELTS OF MORB FROM FAMOUS AREA",,1996,EARTH PLANET SCI LETT,,142,479-486,,,10.1016/0012-821X(96)00117-3
451,"BATIZA, 1996","BATIZA, R; NIU, Y; KARSTEN, J L; BOGER, W; POTTS, E; NORBY, L; BUTLER, R",STEADY AND NON-STEADY STATE MAGMA CHAMBERS BELOW THE EAST PACIFIC RISE,,1996,GEOPHYS RES LETT,,23,221-224,,,10.1029/95GL00016
453,"NIU, 1997","NIU, Y; HEKINIAN, R",BASALTIC LIQUIDS AND HARZBURGITIC RESIDUES IN THE GARRETT TRANSFORM: A CASE STUDY AT FAST-SPREADING RIDGES,,1997,EARTH PLANET SCI LETT,,146,243-258,,,10.1016/S0012-821X(96)00218-X
454,"HEKINIAN, 1993","HEKINIAN, R; BIDEAU, R D; FRANCHETEAU, J; CHEMINEE, J L; ARMIJO, R; LONSDALE, P F; BLUM, N",PETROLOGY OF THE EAST PACIFIC RISE CRUST AND UPPER MANTLE EXPOSED IN HESS DEEP (EASTERN EQUATORIAL PACIFIC),,1993,J GEOPHYS RES,,98,8069-8094,,,10.1029/92JB02072
456,"BATIZA, 1995","BATIZA, R; HEKINIAN, R; BIDEAU, D; FRANCHETEAU, J",CHEMISTRY OF DEEP (3500-5600 M) PACIFIC MORB--WHY IS THE PACIFIC ANOMALOUS?,AGU,1995,GEOPHYS RES LETT,NULL,22,3067-3070,NULL,NULL,10.1029/95gl01997
457,"HEKINIAN, 1997","HEKINIAN, R; STOFFERS, P; DEVEY, C W; ACKERMAN, D; HEMOND, C; O'CONNOR, J; BINARD, N; MAIA, M",INTRAPLATE VERSUS RIDGE VOLCANISM ON THE PACIFIC-ANTARCTIC RIDGE NEAR 37 DEGREE S-111 DEGREE W,,1997,J GEOPHYS RES,,102,12265-12286,,,10.1029/96JB03856
461,"DUPRE, 1983","DUPRE, B; ALLEGRE, C J",PB-SR ISOTOPE VARIATION IN INDIAN OCEAN BASALTS AND MIXING PHENOMENA,,1983,NATURE,,303,142-146,,,10.1038/303142a0
462,"WEIS, 1996","WEIS, D; FREY, F A",ROLE OF THE KERGUELEN PLUME IN GENERATING THE EASTERN INDIAN OCEAN SEAFLOOR,,1996,J GEOPHYS RES,,101,13831-13849,,,10.1029/96JB00410
463,"PYLE, 1995","PYLE, D G; CHRISTIE, D M; MAHONEY, J J; DUNCAN, R A",GEOCHEMISTRY AND GEOCHRONOLOGY OF ANCIENT SOUTHEAST PACIFIC SEAFLOOR,,1995,J GEOPHYS RES,,100,22261-22282,,,10.1029/95JB01424
464,"ELTHON, 1995","ELTHON, D; ROSS, D K; MEEN, J K",COMPOSITIONAL VARIATIONS OF BASALTIC GLASSES FROM THE MID-CAYMAN RISE SPREADING CENTER,,1995,J GEOPHYS RES,,100,12497-12512,,,10.1029/94JB02777
465,"GAETANI, 1995","GAETANI, G A; DELONG, S E; WARK, D A","PETROGENESIS OF BASALTS FROM THE BLANCO TROUGH, NORTHEAST PACIFIC: INFERENCES FOR OFF-AXIS MELT GENERATION",,1995,J GEOPHYS RES,,100,4197-4214,,,10.1029/94JB02774
466,"SCHILLING, 1992","SCHILLING, J-G; KINGSLEY, R H; HANAN, B B; MCCULLY, B L",ND-SR-PB ISOTOPIC VARIATIONS ALONG THE GULF OF ADEN: EVIDENCE FOR AFAR MANTLE PLUME-CONTINENTAL LITHOSPHERE INTERACTION,,1992,J GEOPHYS RES,,97,10927-10966,,,10.1029/92JB00415
467,"LEYBOURNE, 1991","LEYBOURNE, M I; VAN WAGONER, N A","HECK AND HECKLE SEAMOUNTS, NORTHEAST PACIFIC OCEAN: HIGH EXTRUSION RATES OF PRIMITIVE AND HIGHLY DEPLETED MID-OCEAN RIDGE BASALT ON OFF-RIDGE SEAMOUNTS",,1991,J GEOPHYS RES,,96,16275-16293,,,10.1029/91JB00595
468,"BIDEAU, 1991","BIDEAU, D; HEBERT, R; HEKINIAN, R; CANNAT, M",METAMORPHISM OF DEEP-SEATED ROCKS FROM THE GARRETT ULTRAFAST TRANSFORM (EAST PACIFIC RISE NEAR 13 DEGREE 25ÕS),,1991,J GEOPHYS RES,,96,10079-10099,,,10.1029/91JB00243
469,"SINTON, 1991","SINTON, J M; SMAGLIK, S M; MAHONEY, J J; MACDONALD, K C",MAGMATIC PROCESSES AT SUPERFAST SPREADING MID-OCEAN RIDGES: GLASS COMPOSITIONAL VARIATIONS ALONG THE EAST PACIFIC RISE 13 DEGREE -23 DEGREE S,,1991,J GEOPHYS RES,,96,6133-6155,,,10.1029/90JB02454
470,"PETRINI, 1988","PETRINI, R; JORON, J-L; OTTONELLO, G; BONATTI, E; SEYLER, M","BASALTIC DYKES FROM ZABARGAD ISLAND, RED SEA: PETROLOGY AND GEOCHEMISTRY",,1988,TECTONOPHYSICS,,150,229-248,,,10.1016/0040-1951(88)90303-4
471,"BATIZA, 1989","BATIZA, R; SMITH, T L; NIU, Y",GEOLOGIC AND PETROLOGIC EVOLUTION OF SEAMOUNTS NEAR THE EPR BASED ON SUBMERSIBLE AND CAMERA STUDY,,1989,MARINE GEOPHYS RES,,11,169-236,,,10.1007/BF00340203
473,"HEKINIAN, 1989","HEKINIAN, R; THOMPSON, G; BIDEAU, R D",AXIAL AND OFF-AXIAL HETEROGENEITY OF BASALTIC ROCKS FROM THE EAST PACIFIC RISE AT 12 DEGREE 35' N-12 DEGREE 51' N,,1989,J GEOPHYS RES,,94,17437-17463,,,10.1029/JB094iB12p17437
476,"GOLDSTEIN, 1993","GOLDSTEIN, S J; MURRELL, M T; WILLIAMS, R W",231PA AND 230TH CHRONOLOGY OF MID-OCEAN RIDGE BASALTS,,1993,EARTH PLANET SCI LETT,,115,151-159,,,10.1016/0012-821X(93)90219-Y
477,"WHITE, 1993","WHITE, W M",238U/204PB IN MORB AND OPEN SYSTEM EVOLUTION OF THE DEPLETED MANTLE,,1993,EARTH PLANET SCI LETT,,115,211-226,,,10.1016/0012-821X(93)90223-V
478,"VAN WAGONER, 1991","VAN WAGONER, N A; LEYBOURNE, M I",EVIDENCE FOR MAGMA MIXING AND A HETEROGENEOUS MANTLE ON THE WEST VALLEY SEGMENT OF THE JUAN DE FUCA RIDGE,,1991,J GEOPHYS RES,,96,16295-16318,,,10.1029/91JB00592
481,"PINEAU, 1976","PINEAU, F; JAVOY, M; BOTTINGA, Y",13C/12C RATIOS OF ROCKS AND INCLUSIONS IN POPPING ROCKS OF THE MID-ATLANTIC RIDGE: THEIR BEARING ON THE PROBLEM OF DEEP SEATED CARBON,,1976,EARTH PLANET SCI LETT,,29,413-421,,,10.1016/0012-821X(76)90146-1
482,"MUENOW, 1980","MUENOW, D W; LIU, N W K; GARCIA, M O; SAUNDERS, A D",VOLATILES IN SUBMARINE VOLCANIC ROCKS FROM THE SPREADING AXIS OF THE EAST SCOTIA SEA BACK-ARC BASIN,,1980,EARTH PLANET SCI LETT,,47,149-153,,,10.1016/0012-821X(80)90043-6
484,"HART, 1972","HART, S R; GLASSLEY, W E; KARIG, D E",BASALTS AND SEAFLOOR SPREADING BEHIND THE MARIANA ISLAND ARC,,1972,EARTH PLANET SCI LETT,,15,18-Dec,,,10.1016/0012-821X(72)90023-4
485,"HERMES, 1976","HERMES, O D; SCHILLING, J-G","OLIVINE FROM REYKJANES RIDGE AND ICELAND THOLEIITES, AND ITS SIGNIFICANCE TO THE TWO-MANTLE SOURCE MODEL",,1976,EARTH PLANET SCI LETT,,28,345-355,,,10.1016/0012-821X(76)90196-5
490,"DONALDSON, 1977","DONALDSON, C H; BROWN, R W",REFRACTORY MEGACRYSTS AND MAGNESIUM-RICH MELT INCLUSIONS WITHIN SPINEL IN OCEANIC THOLEIITES: INDICATORS OF MAGMA MIXING AND PARENTAL MAGMA,,1977,EARTH PLANET SCI LETT,,37,81-89,,,10.1016/0012-821X(77)90148-0
491,"DUNGAN, 1978","DUNGAN, M A; LONG, P E; RHODES, J M","THE PETROLOGY, MINERAL CHEMISTRY, AND ONE ATMOSPHERE PHASE RELATIONS OF BASALTS FROM SITE 395",,1978,INIT REP DSDP,,45,461-477,,,10.2973/dsdp.proc.45.120.1979
492,"DUNGAN, 1978","DUNGAN, M A; RHODES, J M; LONG, P E; BLANCHARD, D P; BRANNON, J C; RODGERS, K V",THE PETROLOGY AND GEOCHEMISTRY OF BASALTS FROM SITE 396 LEGS 45 AND 46 OF THE DEEP SEA DRILLING PROJECT,,1978,INIT REP DSDP,,46,89-113,,,10.2973/dsdp.proc.46.103.1979
494,"HODGES, 1978","HODGES, F N",PETROLOGY AND CHEMISTRY OF BASALTS FROM DSDP LEG 46,,1978,INIT REP DSDP,,46,227-233,,,10.2973/dsdp.proc.46.110.1979
496,"SATO, 1978","SATO, H; AOKI, K; OKAMOTO, K; FUJITA, B","PETROLOGY AND GEOCHEMISTRY OF BASALTIC ROCKS FROM HOLE 396B, IPOD/DSDP LEG 46",,1978,INIT REP DSDP,,46,115-141,,,10.2973/dsdp.proc.46.104.1979
497,"GRAHAM, 1992","GRAHAM, D W; JENKINS, W J; SCHILLING, J-G; THOMPSON, G; KURZ, M D; HUMPHRIS, S E",HELIUM ISOTOPE GEOCHEMISTRY OF MID-OCEAN RIDGE BASALTS FROM THE SOUTH ATLANTIC,,1992,EARTH PLANET SCI LETT,,110,133-147,,,10.1016/0012-821X(92)90044-V
498,"BARRETT, 1982","BARRETT, T J; FRIEDRICHSEN, H","STRONTIUM AND OXYGEN ISOTOPIC COMPOSITION OF SOME BASALTS FROM HOLE 504B, COSTA RICA RIFT, DSDP LEGS 69 AND 70",,1982,EARTH PLANET SCI LETT,,60,27-38,,,10.1016/0012-821X(82)90017-6
499,"HOERNES, 1979","HOERNES, S; FRIEDRICHSEN, H; SCHOCK, H H","OXYGEN- AND HYDROGEN-ISOTOPE AND TRACE ELEMENT INVESTIGATIONS ON ROCKS OF DSDP HOLE 395A, LEG 45",,1979,INIT REP DSDP,,45,541-550,,,10.2973/dsdp.proc.45.129.1979
500,"HOERNES, 1979","HOERNES, S; FRIEDRICHSEN, H",18O/16O AND D/H INVESTIGATIONS ON BASALTS OF LEG 46,,1979,INIT REP DSDP,,46,253-255,,,NULL
501,"HOERNES, 1977","HOERNES, S; FRIEDRICHSEN, H",OXYGEN ISOTOPE INVESTIGATIONS ON ROCKS OF LEG 37,,1977,INIT REP DSDP,,37,603-606,,,10.2973/dsdp.proc.37.140.1977
504,"MELSON, 1968","MELSON, W G; THOMPSON, G; VAN ANDEL, T H","VOLCANISM AND METAMORPHISM IN THE MID-ATLANTIC RIDGE, 22 DEGREE N LATITUDE",,1968,J GEOPHYS RES,,73,5925-5941,,,10.1029/JB073i018p05925
505,"HEKINIAN, 1996","HEKINIAN, R; FRANCHETEAU, J; ARMIJO, R; COGNE, J P; CONSTANTIN, M; GIRARDEAU, J; HEY, R N; NAAR, D F; SEARLE, R C",PETROLOGY OF THE EASTER MICROPLATE REGION IN THE SOUTH PACIFIC,,1996,J VOLCANOL GEOTHERM RES,,72,259-289,,,10.1016/0377-0273(96)00013-3
507,"WATSON, 1976","WATSON, E B",GLASS INCLUSIONS AS SAMPLES OF EARLY MAGMATIC LIQUID: DETERMINATIONS METHOD AND APPLICATION TO A SOUTH ATLANTIC BASALT,,1976,J VOLCANOL GEOTHERM RES,,1,73-84,,,10.1016/0377-0273(76)90019-6
508,"YONOVER, 1989","YONOVER, R N",PETROLOGICAL EFFECTS OF RIFT FAILURE AT THE GALAPAGOS SPREADING CENTER NEAR 95.5 DEGREE W. INCLUDING ANALYSES OF GLASS INCLUSIONS BY LASER MASS SPECTROMETRY AND ION MICROPROBE,,1989,"THESIS OR DISSERTATION, DOCTORAL, UNIV HAWAII; MONOGRAPHIC",,,NULL,,,NULL
512,"CLAGUE, 1984","CLAGUE, D A; FRIESEN, W B; QUINTERNO, P; HOLMES, M; MORTON, J L; BOUSE, R; MORGENSON, L; DAVIS, A","PRELIMINARY GEOLOGICAL, GEOPHYSICAL, AND BIOLOGICAL DATA FROM THE GORDA RIDGE",,1984,US GEOL SURV OPEN FILE REP,,84,364-49,,,NULL
513,"DICK, 1991","DICK, H J B; SCHOUTEN, H; MEYER, P S; GALLO, D G; BERGH, H; TYCE, R; PATRIAT, P; JOHNSON, K T M; SNOW, J E; FISHER, A",TECTONIC EVOLUTION OF THE ATLANTIS II FRACTURE ZONE,,1991,"PROC ODP, SCI RESULTS",,118,359-398,,,10.2973/odp.proc.sr.118.156.1991
514,"ALLAN, 1996","ALLAN, J F; FALLOON, T J; PEDERSEN, R B; LAKKAPRAGADA, B S; NATLAND, J H; MALPAS, J",PETROLOGY OF SELECTED LEG 147 BASALTIC LAVAS AND DIKES,,1996,"PROC ODP, SCI RESULTS",,147,173-186,,,10.2973/odp.proc.sr.147.010.1996
516,"NATLAND, 1991","NATLAND, J H",INDIAN OCEAN CRUST,,1991,,,,63-93,OCEANIC BASALTS,FLOYD-P-A,NULL
519,"SELO, 1979","SELO, M; STORZER, D",CHRONOLOGIE DES EVENEMENTS VOLCANIQUES DE LA ZONE FAMOUS,,1979,"COMPT REND ACAD SCI PARIS, SER II",,289,1125-1128,,,NULL
520,"MITCHELL, 1976","MITCHELL, W S; AUMENTO, F",FISSION TRACK CHRONOLOGY AND URANIUM CONTENT OF BASALTS FROM DSDP LEG 34,,1976,INIT REP DSDP,,34,451-453,,,10.2973/dsdp.proc.34.134.1976
521,"MITCHELL, 1977","MITCHELL, W S; AUMENTO, F",FISSION TRACK CHRONOLOGY OF BASALTIC GLASSES FROM DSDP LEG 37,,1977,INIT REP DSDP,,37,625-628,,,10.2973/dsdp.proc.37.145.1977
523,"EISSEN, 1991","EISSEN, J P; LEFEVRE, C; MAILLET, P; MORVAN, G; NOHARA, M",PETROLOGY AND GEOCHEMISTRY OF THE CENTRAL NORTH FIJI BASIN SPREADING CENTER (SOUTHWEST PACIFIC) BETWEEN 16 DEGREE S AND 22 DEGREE S,,1991,MARINE GEOLOGY,,98,201-239,,,10.1016/0025-3227(91)90104-C
524,"IKEDA, 1989","IKEDA, Y; YUASA, M","VOLCANISM IN NASCENT BACK-ARC BASIN BEHIND THE SHICHITO RIDGE AND ADJACENT AREAS IN THE IZU-OGAZAWARA ARC, NORTHWEST PACIFIC: EVIDENCE FOR MIXING BETWEEN E-TYPE MORB AND ISLAND ARC MAGMAS AT THE INITIATION OF BACK-ARC RIFTING",,1989,CONTRIB MINERAL PETROL,,101,377-393,,,10.1007/BF00372212
